restaurant_id,Highlights,Present/NotPresent
9100081,Takeaway Available,Present
9100081,Indoor Seating,Present
16522498,Takeaway Available,Present
16522498,Indoor Seating,Present
9100611,Takeaway Available,Present
9100611,No Alcohol Available,Not Present
9100611,Indoor Seating,Present
9100611,Desserts and Bakes,Present
18229148,Takeaway Available,Present
18229148,Indoor Seating,Present
18229148,Self Service,Present
18229148,Kid Friendly,Present
18229148,Desserts and Bakes,Present
16518657,Breakfast,Present
16518657,Takeaway Available,Present
16518657,Outdoor Seating,Present
16518657,Desserts and Bakes,Present
16517410,Breakfast,Present
16517410,Takeaway Available,Present
16517410,Wine,Present
16517410,Wifi,Present
16517410,Desserts and Bakes,Present
16517410,Outdoor Seating,Present
16518189,Breakfast,Present
16518189,Takeaway Only,Present
16518189,Wifi,Present
16518189,Desserts and Bakes,Present
9101829,Takeaway Available,Present
9101829,Indoor Seating,Present
9101678,Takeaway Available,Present
9101678,Kid Friendly,Present
9101678,Indoor Seating,Present
16520755,Takeaway Only,Present
16520755,Desserts and Bakes,Present
9101463,Takeaway Only,Present
9100231,Breakfast,Present
9100231,Takeaway Only,Present
9100231,Desserts and Bakes,Present
16522165,Breakfast,Present
16522165,Takeaway Only,Present
16522165,Wifi,Present
16520785,Takeaway Only,Present
16520785,Desserts and Bakes,Present
16520785,Wifi,Present
16521290,Takeaway Available,Present
16521290,Indoor Seating,Present
16521290,Outdoor Seating,Present
16521290,Desserts and Bakes,Present
16519513,Takeaway Only,Present
16519513,Desserts and Bakes,Present
16522180,Takeaway Available,Present
16522180,Kid Friendly,Present
16522180,Indoor Seating,Present
16522180,Desserts and Bakes,Present
9101862,Takeaway Available,Present
9101862,Indoor Seating,Present
9101862,Desserts and Bakes,Present
16519503,Takeaway Only,Present
16519503,Desserts and Bakes,Present
16520197,Takeaway Only,Present
16520197,Desserts and Bakes,Present
16519328,Takeaway Only,Present
16519328,Desserts and Bakes,Present
9101545,Takeaway Only,Present
16522155,No Takeaway,Not Present
16522155,Full Bar Available,Present
16522155,Indoor Seating,Present
16522155,Nightlife,Present
16518400,No Takeaway,Not Present
16518400,Full Bar Available,Present
16518400,Live Music,Present
16518400,Indoor Seating,Present
16518400,Wifi,Present
16518400,Live Sports Screening,Present
16518400,Smoking Area,Present
16518400,Club,Present
16518400,Nightlife,Present
9100355,No Takeaway,Not Present
9100355,Full Bar Available,Present
9100355,Live Music,Present
9100355,Pet Friendly,Present
9100355,Nightlife,Present
9100355,Indoor Seating,Present
9100355,Wifi,Present
9101122,No Takeaway,Not Present
9101122,Full Bar Available,Present
9101122,Indoor Seating,Present
9101122,Outdoor Seating,Present
9101122,Nightlife,Present
9100543,No Takeaway,Not Present
9100543,Full Bar Available,Present
9100543,Wifi,Present
9100543,Nightlife,Present
9100543,Outdoor Seating,Present
9100543,Live Sports Screening,Present
9100153,No Takeaway,Not Present
9100153,Full Bar Available,Present
9100153,Live Music,Present
9100153,Indoor Seating,Present
9100153,Wifi,Present
9100153,Live Sports Screening,Present
9100153,Smoking Area,Present
9100153,Board Games,Present
9100153,Nightlife,Present
16520800,No Takeaway,Not Present
16520800,Full Bar Available,Present
16520800,Live Music,Present
16520800,Indoor Seating,Present
16520800,Craft Beer,Present
16520800,Nightlife,Present
9101507,No Takeaway,Not Present
9101507,Full Bar Available,Present
9101507,Wifi,Present
9101507,Nightlife,Present
9101507,Indoor Seating,Present
9101507,Board Games,Present
9101507,Craft Beer,Present
16519217,No Takeaway,Not Present
16519217,Full Bar Available,Present
16519217,Live Music,Present
16519217,Indoor Seating,Present
16519217,Live Sports Screening,Present
16519217,Smoking Area,Present
16519217,Nightlife,Present
16522164,No Takeaway,Not Present
16522164,Full Bar Available,Present
16522164,Wifi,Present
16522164,Nightlife,Present
16522164,Indoor Seating,Present
16522164,Live Sports Screening,Present
9100279,No Takeaway,Not Present
9100279,Full Bar Available,Present
9100279,Live Music,Present
9100279,Indoor Seating,Present
9100279,Wifi,Present
9100279,Smoking Area,Present
9100279,Nightlife,Present
9101024,No Takeaway,Not Present
9101024,Full Bar Available,Present
9101024,Live Sports Screening,Present
9101024,Wifi,Present
9101024,Nightlife,Present
9101024,Indoor Seating,Present
9100945,No Takeaway,Not Present
9100945,Full Bar Available,Present
9100945,Outdoor Seating,Present
9100945,Nightlife,Present
16518602,No Takeaway,Not Present
16518602,Full Bar Available,Present
16518602,Nightlife,Present
16518602,Smoking Area,Present
16518602,Wifi,Present
16518602,Outdoor Seating,Present
16519221,No Takeaway,Not Present
16519221,Full Bar Available,Present
16519221,Nightlife,Present
16519221,Indoor Seating,Present
9100347,No Takeaway,Not Present
9100347,Full Bar Available,Present
9100347,Pet Friendly,Present
9100347,Nightlife,Present
9100347,Indoor Seating,Present
9100347,Wifi,Present
9100347,Craft Beer,Present
9101092,No Takeaway,Not Present
9101092,Full Bar Available,Present
9101092,Indoor Seating,Present
9101092,Nightlife,Present
9100524,No Takeaway,Not Present
9100524,Wine and Beer,Present
9100524,Wifi,Present
9100524,Nightlife,Present
9100524,Indoor Seating,Present
9100524,Live Sports Screening,Present
16520814,No Takeaway,Not Present
16520814,Full Bar Available,Present
16520814,Smoking Area,Present
16520814,Live Sports Screening,Present
16520814,Indoor Seating,Present
16520814,Wifi,Present
16520814,Nightlife,Present
9100094,No Takeaway,Not Present
9100094,Full Bar Available,Present
9100094,LGBT,Present
9100094,Outdoor Seating,Present
9100094,Smoking Area,Present
9100094,Nightlife,Present
16519508,No Takeaway,Not Present
16519508,Full Bar Available,Present
16519508,Live Music,Present
16519508,Indoor Seating,Present
16519508,Smoking Area,Present
16519508,Lunch Menu,Present
16519508,Live Sports Screening,Present
16519508,Wifi,Present
16519508,Nightlife,Present
16520759,No Takeaway,Not Present
16520759,Full Bar Available,Present
16520759,Wifi,Present
16520759,Indoor Seating,Present
16520759,Nightlife,Present
16518995,No Takeaway,Not Present
16518995,Full Bar Available,Present
16518995,Live Music,Present
16518995,Indoor Seating,Present
16518995,Live Sports Screening,Present
16518995,Wifi,Present
16518995,Nightlife,Present
9101722,No Takeaway,Not Present
9101722,Full Bar Available,Present
9101722,Live Music,Present
9101722,Indoor Seating,Present
9101722,Nightlife,Present
9101488,Breakfast,Present
9101488,Takeaway Available,Present
9101488,Indoor Seating,Present
9101488,Desserts and Bakes,Present
18354215,Home Delivery,Present
18354215,Takeaway Available,Present
18354215,Seating Not Available,Not Present
18354215,No Alcohol Available,Not Present
18354215,Desserts and Bakes,Present
16520762,Breakfast,Present
16520762,Takeaway Available,Present
16520762,Indoor Seating,Present
16520762,Desserts and Bakes,Present
16518610,Breakfast,Present
16518610,Takeaway Only,Present
16518610,Desserts and Bakes,Present
9100170,Breakfast,Present
9100170,No Takeaway,Not Present
9100170,Indoor Seating,Present
9100170,Wifi,Present
9101115,Breakfast,Present
9101115,Takeaway Only,Present
9101115,Seating Not Available,Not Present
9101115,No Alcohol Available,Not Present
9101273,Breakfast,Present
9101273,Takeaway Only,Present
9101273,Seating Not Available,Not Present
9101273,No Alcohol Available,Not Present
9101273,Serves Organic Food,Present
9101273,Desserts and Bakes,Present
9101108,Breakfast,Present
9101108,Takeaway Available,Present
9101108,No Alcohol Available,Not Present
9101108,Indoor Seating,Present
9101108,Wifi,Present
9101108,Desserts and Bakes,Present
9100743,Takeaway Only,Present
9100743,Seating Not Available,Not Present
9100743,No Alcohol Available,Not Present
9101546,Breakfast,Present
9101546,Takeaway Available,Present
9101546,Wine,Present
9101546,Desserts and Bakes,Present
9101546,Indoor Seating,Present
9100849,Breakfast,Present
9100849,Takeaway Available,Present
9100849,Wine,Present
9100849,Wifi,Present
9100849,Brunch,Present
9100849,Indoor Seating,Present
9101026,Breakfast,Present
9101026,Takeaway Only,Present
9101026,Gluten Free Options,Present
18264746,Breakfast,Present
18264746,Takeaway Available,Present
18264746,No Alcohol Available,Not Present
18264746,Indoor Seating,Present
18264746,Desserts and Bakes,Present
9101801,No Takeaway,Not Present
9101801,Seating Not Available,Not Present
9101801,No Alcohol Available,Not Present
9101801,Desserts and Bakes,Present
9101801,Kid Friendly,Present
9101080,Breakfast,Present
9101080,Takeaway Only,Present
9101080,Lunch Menu,Present
16518177,Takeaway Only,Present
18261954,Takeaway Available,Present
18261954,No Alcohol Available,Not Present
18261954,Indoor Seating,Present
18261954,Desserts and Bakes,Present
9100660,Breakfast,Present
9100660,Home Delivery,Present
9100660,Takeaway Available,Present
9100660,Wifi,Present
9100660,Desserts and Bakes,Present
9100660,Outdoor Seating,Present
