restaurant_id,restaurant_name,url,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,has_online_delivery,is_table_reservation_supported,establishment_types
9100081,Chillout Break Cafe,https://www.zomato.com/dublin/chillout-break-cafe-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11 Moore Street, Dublin Dublin 1",North City,Dublin,91,53.3502083333,-6.2623861111,Dublin 1,97,"North City, Dublin","Polish, Cafe",25,0,Not rated,1,0,0,[]
16522498,Lituanica,https://www.zomato.com/dublin/lituanica-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Moore Street Mall, 58-66 Moore Street, Dublin Dublin 1","Moore Street Mall, City Centre North",Dublin,91,53.3512583333,-6.2631555556,Dublin 1,97,"Moore Street Mall, City Centre North, Dublin",Polish,25,0,Not rated,0,0,0,[]
9100611,The Really Old Sweet Shop,https://www.zomato.com/dublin/the-really-old-sweet-shop-malahide?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kilronan House, Church Road, Malahide, Dublin Co. Dublin",Malahide,Dublin,91,53.4502670015,-6.1533546075,,97,"Malahide, Dublin","Ice Cream, Desserts",10,0,Not rated,2,0,0,[]
18229148,Jinny Joe's Dublin,https://www.zomato.com/dublin/jinny-joes-dublin-crumlin?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2 Herberton Road, Crumlin, Dublin 12",Crumlin,Dublin,91,53.3306200000,-6.2978960000,12,97,"Crumlin, Dublin","Crepes, Ice Cream",10,0,Not rated,1,0,0,[]
16518657,Eileen's Cafe,https://www.zomato.com/dublin/eileens-cafe-howth?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Unit 1 Island View, Howth, Co. Dublin",Howth,Dublin,91,53.3877916667,-6.0672166667,,97,"Howth, Dublin","Ice Cream, Crepes, Cafe",20,0,Not rated,1,0,0,[]
16517410,Teddy's Promenade Café,https://www.zomato.com/dublin/teddys-promenade-café-dun-laoghaire?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1-2 Windsor Terrace, Dun Laoghaire, Co. Dublin",Dun Laoghaire,Dublin,91,53.2904960000,-6.1276260000,,97,"Dun Laoghaire, Dublin","Cafe, Ice Cream, Desserts",40,0,Not rated,1,0,0,[]
16518189,Rainbows,https://www.zomato.com/dublin/rainbows-dundrum?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Dundrum Town Centre, Dundrum, Dublin Dublin 14","Dundrum Town Centre, Dundrum",Dublin,91,53.2868527778,-6.2416444444,Dublin 14,97,"Dundrum Town Centre, Dundrum, Dublin",Ice Cream,10,0,Not rated,2,0,0,[]
9101829,Scrumdiddly's,https://www.zomato.com/dublin/scrumdiddlys-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Arnotts Department Store, 12 Henry Street, North City, Dublin",North City,Dublin,91,53.3484370000,-6.2627830000,,97,"North City, Dublin","Ice Cream, Desserts",10,0,Not rated,1,0,0,[]
9101678,Bonkers,https://www.zomato.com/dublin/bonkers-dun-laoghaire?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Unit 4, Marine Road, Dun Laoghaire, Co. Dublin",Dun Laoghaire,Dublin,91,53.2932965192,-6.1345885321,,97,"Dun Laoghaire, Dublin","Ice Cream, Desserts",10,0,Not rated,0,0,0,[]
16520755,Bliss Ice Cream & Shakes,https://www.zomato.com/dublin/bliss-ice-cream-shakes-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Jervis Shopping Centre, 125 Abbey Street Upper, Dublin Dublin 1","Jervis Shopping Centre, City Centre North",Dublin,91,53.3481916667,-6.2661500000,Dublin 1,97,"Jervis Shopping Centre, City Centre North, Dublin",Ice Cream,15,0,Not rated,1,0,0,[]
