restaurant_id,review_rating,review_text,review_id,rating_text,likes,username,user_foodie_level,user_foodie_level_num,comments_count
9100412,1.0,"We ordered a pizza meal, and it didnt arrived. We rang to claim and they said they were going to send it back. It never came. We waited for ...",26147540,Avoid!,0,Juan Paleo,Foodie,2,0
9100412,1.0,NEVER AGAIN!!! Ordered my pizza online using the website at 19:45 and was so disappointing. Online gave option of selecting toppings with a ...,25440914,Avoid!,0,Fiona B,Foodie,2,0
18372847,4.0,Good buffet... Been there a few times with friends. Good staffs and plenty of options to choose from. Desert section needs some improvisatio...,40108317,Great!,0,Danny Joseph Sequeira,Big Foodie,4,0
18372847,1.0,"I chose the reaturant as a Bday lunch for my wife. But sad to say, One of the worst and worst experience in my life choosing this restaurant...",39659350,Avoid!,0,@jack,Big Foodie,4,0
18372847,3.0,Good food. Average quality. It would be better if the quality of desserts was more focused on than the variety. Very few vegetarian options....,35078916,Average,8,Kashish Verma,Big Foodie,5,0
18372847,3.5,"Global in Dundrum shopping centre is a nice place for buffet lunch or dinner, you could try variety of food  Chinese, Malaysian, Thai , sush...",29945099,Good Enough,0,Gunasheela Shetty,Big Foodie,4,0
18372847,3.5,"Visited this spot last night, €20 all you can eat, which I personally thought was abit expensive. Student discount was 20% so only ended u...",28401371,Good Enough,0,Hollie Dillon,Big Foodie,6,0
9100042,4.0,"Gluten Free Pizza. What's not to love. There can be an inconsistent bases, but it's gotten better. 2 for 1 on pizzas is a great deal. Recomm...",24169012,Great!,0,Tony Reilly,Super Foodie,9,3
9101203,4.5,"Lovely little restaurant, great friendly vibe off the husband and wife manager/chef duo. I have had a plate go back into the kitchen with an...",6007891,Loved it!,0,Colm O Brien,Big Foodie,4,0
9100941,4.0,"Espaço cheio de vida, bastante bem decorado com cervejas de todo o mundo, não haveria melhor forma de descrever o Porterhouse. Sendo um ba...",41221716,Great!,0,Francisco Baptista Simões,Super Foodie,9,0
9100941,2.0,This is very nice place if you are Looking for atmosphere. If you are looking for food...not so much. We order a couple Of starters to share...,39505587,Blah!,0,Janomi,Big Foodie,7,0
9100941,3.0,Looking for a non-touristy joint in Temple Bar and stumbled across this place - the ambiance and setting immediately appealing to a tired gr...,36975397,Average,0,Erin,Super Foodie,9,0
9100941,4.0,One of the bars a like most in Dublin. Extremely big list of beers with quite a few options with their own house beers. I enjoyed a lot the ...,33285835,Great!,1,Kaśka Papaj,Super Foodie,11,0
9100941,4.5,"Lovely place in the temple bar area, as authentic as one Irish bar can be. Lovely old wooden interiors and range of fresh brewed beers. If y...",32624104,Loved it!,0,Tejaswi Mishra,Big Foodie,4,0
16522390,3.5,Ideal place to pick up something quick on lunch break from work. I went at lunch time on Friday and it was pretty busy. The food is very rea...,23540745,Good Enough,1,Orla Clarke,Super Foodie,8,0
16522113,1.5,Munchies? More like bumchies. I haven't been this disappointed since the last episode of Gossip Girl. It was the same kind of feeling actual...,25284996,Very Bad,0,Glenn McNulty,Foodie,3,0
16522113,1.0,"I visited Munchies for lunch with a friend and sat in, normally I purchase a sandwich to take away. I was really disappointed by the poor se...",25160410,Avoid!,0,Emsy,Foodie,2,0
16522113,3.0,I have clients based out here so I always make sure to stop into munchies for a delicious sandwich. Their fillings are always fresh but be w...,24306854,Average,1,Niamh Cleary,Super Foodie,10,0
16522113,3.5,"Really great sandwiches at Munchies, lots of ingredients and choices. A nice spot for lunch, not fancy but good. Service at times can be a l...",23935346,Good Enough,0,Carol @ Gin & Griddle,Super Foodie,9,0
16522113,3.5,Went for the old Club Sandwich which was really tasty.  Your options are slightly limited in the The Beacon Shopping Centre in Sandyford so...,5952671,Good Enough,0,Kevin McDonald,Super Foodie,9,0
16517318,3.5,Any student in Drumcondra needs to pay this LITTLE deli a visit even just once in Their student lifetimes. It's on a quaint side street fill...,25273707,Good Enough,3,Eimear Forde,Big Foodie,5,2
16517318,3.5,This place is quick and handy for a college style lunch. You can get a quick sandwich or wrap or panini. Is always packed with Pats students...,23497750,Good Enough,0,Katie Beggan,Big Foodie,7,0
